"","state","S1","S2","S3"
"1",2,0,1,0
"2",2,1.19947713977373e-55,1,7.96963986538269e-33
"3",2,3.09038067857603e-58,1,4.2688154651491e-35
"4",2,5.27573438091552e-57,1,2.59473216666948e-34
"5",2,4.61327481622587e-55,1,1.88679706077911e-32
"6",2,8.86285192155374e-57,1,7.14403610509532e-34
"7",2,1.71434282866672e-59,1,4.23811708641277e-36
"8",2,5.00823297031641e-59,1,8.87964774427081e-36
"9",2,3.94621196582101e-55,1,6.84030490587202e-33
"10",2,3.13261183262393e-52,1,4.5632799728374e-30
"11",2,3.80120751686507e-48,1,1.17370087366977e-26
"12",2,2.31317564929782e-45,1,2.09678697597313e-24
"13",2,1.73227772199517e-39,1,7.79016682498948e-21
"14",2,5.21746725601067e-37,1,3.64119082463676e-19
"15",2,3.76061330669959e-40,1,3.29845367582213e-21
"16",2,2.82934923893341e-38,1,9.73321681064681e-20
"17",2,2.62613145998954e-36,1,2.81809036446952e-18
"18",2,8.39421629556218e-35,1,2.17012442810888e-17
"19",2,1.87113362416128e-35,1,8.46295984761421e-18
"20",2,6.68804272138353e-34,1,3.28400701931615e-16
"21",2,3.53515382902978e-34,1,1.55677623027175e-16
"22",2,9.35131922506947e-35,1,3.22788411274901e-17
"23",2,9.22233954615562e-34,1,3.21880274503901e-16
"24",2,3.85996829837097e-35,0.999999999999999,5.56879621671777e-16
"25",2,1.52107823843783e-33,0.999999999999998,1.97607560462714e-15
"26",2,7.41762178054462e-35,1,2.64987232827697e-16
"27",2,8.42310670227189e-38,1,2.58115361107728e-16
"28",2,6.80088472622226e-38,1,1.54535117648969e-17
"29",2,1.30825668348205e-34,0.999999999999999,6.46529416125054e-16
"30",2,2.70660945551688e-33,0.999999999999993,7.29821373410174e-15
"31",2,4.32545522836918e-33,0.999999999999967,3.33716603067224e-14
"32",2,2.88955665693536e-31,0.999999999999768,2.31863620001478e-13
"33",2,4.90066672487294e-33,0.999999999999948,5.18825133209504e-14
"34",2,2.67035163982437e-31,0.999999999999248,7.51455829434175e-13
"35",2,7.53654774103416e-30,0.999999999994145,5.85502167622515e-12
"36",2,9.36305504512751e-30,0.999999999995589,4.41061799530545e-12
"37",2,3.07454979462659e-27,0.999999999945183,5.48174673501372e-11
"38",2,7.76990284229391e-27,0.999999999766118,2.33882225417028e-10
"39",2,8.54656476805536e-28,0.999999999919231,8.07692769467073e-11
"40",2,1.79714820600972e-27,0.999999999887318,1.12682178726198e-10
"41",2,4.64001345637251e-29,0.999999999984388,1.56122952415022e-11
"42",2,7.12567118333611e-30,0.999999999957065,4.29350653176545e-11
"43",2,1.72489453140142e-29,0.999999999955562,4.44378988124739e-11
"44",2,1.4136396740984e-29,0.99999999994362,5.63800766866615e-11
"45",2,5.65868479123376e-29,0.999999999910022,8.99784241493323e-11
"46",2,4.59417471449446e-27,0.999999999464486,5.35514208846613e-10
"47",2,1.75277805153012e-26,0.99999999891144,1.08855987794707e-09
"48",2,7.07397986111181e-27,0.999999999067421,9.32579337040332e-10
"49",2,1.15481346860115e-25,0.999999996396266,3.60373424048678e-09
"50",2,4.74604144135196e-25,0.999999988161587,1.18384133927166e-08
"51",2,2.54272086678788e-25,0.999999996882937,3.11706266335143e-09
"52",2,1.83468922819309e-25,0.999999998878043,1.12195729909627e-09
"53",2,5.30893189291037e-27,0.999999999775507,2.24492841118709e-10
"54",2,8.73742115455394e-25,0.99999999513289,4.86711021310688e-09
"55",2,1.75596043983477e-26,0.999999999058502,9.414980446804e-10
"56",2,9.51741563315619e-28,0.99999999972928,2.70720054615205e-10
"57",2,9.95856141866148e-31,0.999999999976106,2.38942395452001e-11
"58",2,1.47834248750256e-25,0.999999999351143,6.48857072778465e-10
"59",2,2.01238102943421e-31,0.999999999993845,6.15491981267209e-12
"60",2,6.07224725874207e-34,0.999999999999914,8.58462815769978e-14
"61",2,3.31904352899061e-31,0.999999999999282,7.17845675263866e-13
"62",2,2.39675947460916e-34,0.999999999999987,1.29077997702769e-14
"63",2,4.95043557118518e-32,0.999999999999946,5.39300124489671e-14
"64",2,4.73174395777981e-31,0.999999999999907,9.29248588923906e-14
"65",2,3.3497424407249e-29,0.999999999999112,8.87635939050306e-13
"66",2,1.79819053302968e-31,0.999999999999907,9.26044849059763e-14
"67",2,1.14550540302812e-30,0.999999999999876,1.23670287101655e-13
"68",2,1.47265936491585e-28,0.999999999999326,6.74019362840144e-13
"69",2,3.90151337969253e-29,0.999999999999688,3.11738916215653e-13
"70",2,3.43495495368781e-29,0.999999999999401,5.9944202608247e-13
"71",2,2.65347139777579e-30,0.99999999999981,1.89873373709159e-13
"72",2,5.59097275353896e-29,0.999999999999439,5.6118496714424e-13
"73",2,6.72303549658687e-28,0.999999999992284,7.71614978140801e-12
"74",2,1.58742999623479e-24,0.999999999380518,6.19482431847368e-10
"75",2,1.93337004342448e-25,0.999999999025255,9.74745059598394e-10
"76",2,4.94953090181196e-29,0.999999999989502,1.0497632283438e-11
"77",2,3.67758688855553e-29,0.999999999994736,5.26381569269393e-12
"78",2,6.66483528020093e-34,0.999999999999968,3.24288665577471e-14
"79",2,6.04867047814791e-32,0.999999999999551,4.4928250897699e-13
"80",2,5.77608893213052e-29,0.999999999993772,6.22838365668515e-12
"81",2,1.15880885044361e-27,0.999999999947904,5.20955648735322e-11
"82",2,2.36400395385618e-26,0.999999999938541,6.14589761652231e-11
"83",2,1.81048883091651e-25,0.999999999728856,2.71143866525586e-10
"84",2,6.9177865377186e-27,0.999999999849673,1.50327191618288e-10
